index,Industry,Count
7,Fintech,242
10,Internet software and services,224
5,E-commerce and direct-to-consumer,106
9,Health,93
0,Artificial Intelligence,87
13,"Supply chain, logistics, and delivery",66
12,Other,65
3,Cybersecurity,58
4,Data and management and analytics,45
1,Auto and transportation,39
8,Hardware,38
11,Mobile and telecommunications,38
6,Edtech,32
2,Consumer and retail,28
14,Travel,14
